formula,E_B,alphax_el,alphay_el,alphaz_el,plasmafrequency_x,gap,gap_gw,gap_hse,emass_cbm,emass_vbm,alphax_lat,thickness,area,natoms,nspecies,dipz,ehull,hform,is_magnetic,layergroup
VBrCl,3.585,1.665,1.665,0.309,0.000,1.289,,3.751,1.223,5.556,0.770,2.781,12.173,3,3,0.014,0.011,-1.009,Yes,p3m1
ZrBrCl,0.873,5.460,5.460,0.380,0.000,0.912,1.878,1.397,0.929,0.434,0.175,3.532,10.537,3,3,0.022,0.010,-1.512,No,p3m1
Rh2Se2,0.321,24.385,24.385,0.610,0.000,0.101,0.310,0.337,0.286,0.518,,5.408,9.674,4,2,-0.000,0.164,-0.164,No,p-6m2
HfIBr,0.700,5.958,5.958,0.433,0.000,0.713,1.612,1.157,0.687,0.344,0.166,3.794,11.498,3,3,-0.023,0.089,-0.887,No,p3m1
TiIBr,0.498,8.876,8.876,0.413,0.000,0.679,1.198,1.037,1.367,0.590,0.058,3.503,11.429,3,3,-0.034,0.073,-0.877,No,p3m1
VIBr,2.937,2.230,2.230,0.359,0.000,1.188,,3.500,0.946,3.600,0.710,3.018,13.777,3,3,-0.028,0.020,-0.657,Yes,p3m1
Sc2S2,0.397,18.296,18.296,0.526,0.000,0.414,1.004,0.981,0.391,0.492,,5.542,12.308,4,2,0.000,0.627,-1.273,No,p-6m2
ZrIBr,0.760,6.654,6.654,0.432,0.000,0.774,1.590,1.174,0.895,0.415,0.079,3.762,11.874,3,3,-0.027,0.039,-1.086,No,p3m1
Si2S2,0.909,3.356,3.366,0.357,0.000,1.417,2.884,2.138,0.753,2.325,1.830,2.511,16.142,4,2,0.000,0.446,-0.056,No,pm2_1n
Sn2S2,0.589,5.209,5.306,0.407,0.000,1.414,2.503,1.987,0.197,0.259,11.691,2.864,17.575,4,2,-0.000,0.043,-0.415,No,pm2_1n
Sn2S2,0.343,5.678,5.678,0.219,1.844,0.067,,0.075,0.242,0.255,,0.000,31.089,4,2,-0.000,0.433,-0.025,No,p4/mmm
SbSBr,0.882,4.263,4.263,0.390,0.000,1.217,2.419,1.838,6.660,0.809,23.955,3.313,13.777,3,3,0.009,0.054,-0.415,No,p3m1
SbSBr,1.059,4.077,4.077,0.415,0.000,1.426,2.607,2.028,0.405,0.580,13.328,3.573,13.044,3,3,0.034,0.183,-0.287,No,p3m1
SbSeBr,0.762,4.780,4.780,0.407,0.000,1.069,2.164,1.649,5.305,0.825,19.506,3.418,14.388,3,3,0.038,0.000,-0.444,No,p3m1
SbSeBr,0.905,4.619,4.619,0.434,0.000,1.464,2.572,2.037,1.693,0.510,12.699,3.680,13.619,3,3,0.066,0.124,-0.320,No,p3m1
SbTeBr,0.553,5.594,5.594,0.427,0.000,1.052,2.070,1.615,inf,0.969,16.540,3.509,15.534,3,3,0.080,0.000,-0.377,No,p3m1
SbTeBr,0.574,5.606,5.606,0.459,0.000,1.319,2.253,1.819,0.645,0.508,15.506,3.817,14.635,3,3,0.111,0.130,-0.247,No,p3m1
Tl2S2,0.726,4.749,4.749,0.555,0.000,0.673,1.644,1.159,0.249,2.389,4.157,5.282,14.257,4,2,-0.000,0.119,-0.145,No,p-6m2
V2S2,0.393,24.184,24.184,0.436,0.000,0.214,0.366,0.642,3.478,0.737,,4.183,10.788,4,2,-0.000,0.534,-0.428,No,p-6m2
HfICl,0.739,5.558,5.558,0.408,0.000,0.814,1.783,1.295,0.787,0.411,0.301,3.670,11.085,3,3,-0.042,0.140,-1.032,No,p3m1
TiICl,0.562,8.451,8.451,0.390,0.000,0.745,1.383,1.187,1.746,0.717,0.155,3.386,10.926,3,3,-0.059,0.118,-1.015,No,p3m1
VICl,3.140,2.092,2.092,0.338,0.000,1.100,,3.537,0.272,3.572,0.821,2.904,13.181,3,3,-0.042,0.057,-0.775,Yes,p3m1
ZrICl,0.800,6.220,6.220,0.408,0.000,0.877,1.744,1.317,0.918,0.485,0.188,3.634,11.449,3,3,-0.049,0.080,-1.228,No,p3m1
Sc2Se2,0.400,19.243,19.243,0.567,0.000,0.400,0.851,0.933,0.421,0.537,,5.878,12.982,4,2,-0.000,0.548,-1.049,No,p-6m2
